0	00000000000	abandon
1	00000000001	ability
2	00000000010	able
3	00000000011	about
4	00000000100	above
5	00000000101	absent
6	00000000110	absorb
7	00000000111	abstract
8	00000001000	absurd
9	00000001001	abuse
10	00000001010	access
11	00000001011	accident
12	00000001100	account
13	00000001101	accuse
14	00000001110	achieve
15	00000001111	acid
16	00000010000	acoustic
17	00000010001	acquire
18	00000010010	across
19	00000010011	act
20	00000010100	action
21	00000010101	actor
22	00000010110	actress
23	00000010111	actual
24	00000011000	adapt
25	00000011001	add
26	00000011010	addict
27	00000011011	address
28	00000011100	adjust
29	00000011101	admit
30	00000011110	adult
31	00000011111	advance
32	00000100000	advice
33	00000100001	aerobic
34	00000100010	affair
35	00000100011	afford
36	00000100100	afraid
37	00000100101	again
38	00000100110	age
39	00000100111	agent
40	00000101000	agree
41	00000101001	ahead
42	00000101010	aim
43	00000101011	air
44	00000101100	airport
45	00000101101	aisle
46	00000101110	alarm
47	00000101111	album
48	00000110000	alcohol
49	00000110001	alert
50	00000110010	alien
51	00000110011	all
52	00000110100	alley
53	00000110101	allow
54	00000110110	almost
55	00000110111	alone
56	00000111000	alpha
57	00000111001	already
58	00000111010	also
59	00000111011	alter
60	00000111100	always
61	00000111101	amateur
62	00000111110	amazing
63	00000111111	among
64	00001000000	amount
65	00001000001	amused
66	00001000010	analyst
67	00001000011	anchor
68	00001000100	ancient
69	00001000101	anger
70	00001000110	angle
71	00001000111	angry
72	00001001000	animal
73	00001001001	ankle
74	00001001010	announce
75	00001001011	annual
76	00001001100	another
77	00001001101	answer
78	00001001110	antenna
79	00001001111	antique
80	00001010000	anxiety
81	00001010001	any
82	00001010010	apart
83	00001010011	apology
84	00001010100	appear
85	00001010101	apple
86	00001010110	approve
87	00001010111	april
88	00001011000	arch
89	00001011001	arctic
90	00001011010	area
91	00001011011	arena
92	00001011100	argue
93	00001011101	arm
94	00001011110	armed
95	00001011111	armor
96	00001100000	army
97	00001100001	around
98	00001100010	arrange
99	00001100011	arrest
100	00001100100	arrive
101	00001100101	arrow
102	00001100110	art
103	00001100111	artefact
104	00001101000	artist
105	00001101001	artwork
106	00001101010	ask
107	00001101011	aspect
108	00001101100	assault
109	00001101101	asset
110	00001101110	assist
111	00001101111	assume
112	00001110000	asthma
113	00001110001	athlete
114	00001110010	atom
115	00001110011	attack
116	00001110100	attend
117	00001110101	attitude
118	00001110110	attract
119	00001110111	auction
120	00001111000	audit
121	00001111001	august
122	00001111010	aunt
123	00001111011	author
124	00001111100	auto
125	00001111101	autumn
126	00001111110	average
127	00001111111	avocado
128	00010000000	avoid
129	00010000001	awake
130	00010000010	aware
131	00010000011	away
132	00010000100	awesome
133	00010000101	awful
134	00010000110	awkward
135	00010000111	axis
136	00010001000	baby
137	00010001001	bachelor
138	00010001010	bacon
139	00010001011	badge
140	00010001100	bag
141	00010001101	balance
142	00010001110	balcony
143	00010001111	ball
144	00010010000	bamboo
145	00010010001	banana
146	00010010010	banner
147	00010010011	bar
148	00010010100	barely
149	00010010101	bargain
150	00010010110	barrel
151	00010010111	base
152	00010011000	basic
153	00010011001	basket
154	00010011010	battle
155	00010011011	beach
156	00010011100	bean
157	00010011101	beauty
158	00010011110	because
159	00010011111	become
160	00010100000	beef
161	00010100001	before
162	00010100010	begin
163	00010100011	behave
164	00010100100	behind
165	00010100101	believe
166	00010100110	below
167	00010100111	belt
168	00010101000	bench
169	00010101001	benefit
170	00010101010	best
171	00010101011	betray
172	00010101100	better
173	00010101101	between
174	00010101110	beyond
175	00010101111	bicycle
176	00010110000	bid
177	00010110001	bike
178	00010110010	bind
179	00010110011	biology
180	00010110100	bird
181	00010110101	birth
182	00010110110	bitter
183	00010110111	black
184	00010111000	blade
185	00010111001	blame
186	00010111010	blanket
187	00010111011	blast
188	00010111100	bleak
189	00010111101	bless
190	00010111110	blind
191	00010111111	blood
192	00011000000	blossom
193	00011000001	blouse
194	00011000010	blue
195	00011000011	blur
196	00011000100	blush
197	00011000101	board
198	00011000110	boat
199	00011000111	body
200	00011001000	boil
201	00011001001	bomb
202	00011001010	bone
203	00011001011	bonus
204	00011001100	book
205	00011001101	boost
206	00011001110	border
207	00011001111	boring
208	00011010000	borrow
209	00011010001	boss
210	00011010010	bottom
211	00011010011	bounce
212	00011010100	box
213	00011010101	boy
214	00011010110	bracket
215	00011010111	brain
216	00011011000	brand
217	00011011001	brass
218	00011011010	brave
219	00011011011	bread
220	00011011100	breeze
221	00011011101	brick
222	00011011110	bridge
223	00011011111	brief
224	00011100000	bright
225	00011100001	bring
226	00011100010	brisk
227	00011100011	broccoli
228	00011100100	broken
229	00011100101	bronze
230	00011100110	broom
231	00011100111	brother
232	00011101000	brown
233	00011101001	brush
234	00011101010	bubble
235	00011101011	buddy
236	00011101100	budget
237	00011101101	buffalo
238	00011101110	build
239	00011101111	bulb
240	00011110000	bulk
241	00011110001	bullet
242	00011110010	bundle
243	00011110011	bunker
244	00011110100	burden
245	00011110101	burger
246	00011110110	burst
247	00011110111	bus
248	00011111000	business
249	00011111001	busy
250	00011111010	butter
251	00011111011	buyer
